"RK_name","RK_PK","RK_TM","RK_Player","RK_College","RK_Yrs","RK_G","RK_MP","RK_PTS","RK_TRB","RK_AST","RK_FG","RK__3P","RK_FT","RK_MP2","RK_PTS2","RK_TRB2","RK_AST2","RK_WS","RK_WS_48","RK_BPM","RK_VORP"
"19","19","ATL","Kevin Huerter","Maryland","2","131","3808","1411","473","427",".416",".383",".783","29.1","10.8","3.6","3.3","3.0",".038","-2.0","0.0"
"20","20","MIN","Josh Okogie","Georgia Tech","2","136","3304","1103","486","190",".404",".274",".765","24.3","8.1","3.6","1.4","3.4",".050","-2.8","-0.6"
"21","21","UTA","Grayson Allen","Duke","2","76","1134","541","108","77",".429",".371",".800","14.9","7.1","1.4","1.0","1.2",".053","-3.2","-0.3"
"22","22","CHI","Chandler Hutchison","Boise State","2","72","1422","447","293","60",".458",".295",".595","19.8","6.2","4.1","0.8","1.2",".041","-3.4","-0.5"
"23","23","IND","Aaron Holiday","UCLA","2","116","2263","921","223","312",".410",".374",".839","19.5","7.9","1.9","2.7","3.0",".064","-1.6","0.2"
"24","24","POR","Anfernee Simons","","2","90","1590","654","165","110",".404",".333",".787","17.7","7.3","1.8","1.2","0.2",".007","-4.6","-1.0"
"25","25","LAL","Moritz Wagner","Michigan","2","88","1281","600","304","80",".494",".299",".818","14.6","6.8","3.5","0.9","1.9",".072","-3.0","-0.3"
"26","26","PHI","Landry Shamet","Wichita State","2","132","3254","1214","234","216",".420",".402",".828","24.7","9.2","1.8","1.6","6.2",".091","-1.8","0.2"
"27","27","BOS","Robert Williams","Texas A&M","2","61","671","231","209","34",".719","",".633","11.0","3.8","3.4","0.6","3.2",".231","3.7","1.0"
"28","28","GSW","Jacob Evans","Cincinnati","2","59","622","168","66","54",".337",".315",".833","10.5","2.8","1.1","0.9","-0.6","-.047","-7.4","-0.8"
"29","29","BRK","Džanan Musa","","2","49","526","211","91","45",".376",".227",".726","10.7","4.3","1.9","0.9","0.0",".003","-4.6","-0.4"
"30","30","ATL","Omari Spellman","Villanova","2","95","1691","642","413","94",".417",".366",".766","17.8","6.8","4.3","1.0","2.4",".068","-1.5","0.2"
"31","31","PHO","Élie Okobo","","2","108","1677","523","188","242",".395",".315",".737","15.5","4.8","1.7","2.2","0.5",".014","-4.1","-0.9"
"32","32","MEM","Jevon Carter","West Virginia","2","97","1522","459","184","153",".367",".387",".831","15.7","4.7","1.9","1.6","1.8",".057","-1.1","0.3"
"33","33","DAL","Jalen Brunson","Villanova","2","130","2613","1144","303","418",".467",".352",".759","20.1","8.8","2.3","3.2","4.7",".086","-1.4","0.4"
"34","34","ATL","Devonte' Graham","Kansas","2","109","2887","1362","275","592",".375",".357",".810","26.5","12.5","2.5","5.4","3.8",".064","-0.6","1.0"
"35","35","ORL","Melvin Frazier","Tulane","2","29","170","55","15","4",".400",".364",".375","5.9","1.9","0.5","0.1","0.0",".008","-5.4","-0.2"
"36","36","NYK","Mitchell Robinson","","2","127","2772","1075","851","73",".720","",".583","21.8","8.5","6.7","0.6","12.9",".223","2.7","3.3"
"37","37","SAC","Gary Trent","Duke","2","76","1443","581","111","66",".432",".405",".769","19.0","7.6","1.5","0.9","2.3",".075","-1.1","0.3"
"38","38","PHI","Khyri Thomas","Creighton","2","34","256","78","21","11",".314",".306",".600","7.5","2.3","0.6","0.3","0.0","-.005","-5.7","-0.2"
"39","39","PHI","Isaac Bonga","","2","88","1370","349","247","91",".461",".316",".780","15.6","4.0","2.8","1.0","1.6",".057","-3.0","-0.3"
